"Date","Price","Open","High","Low","Vol.","Change %"
"22-09-2025","1.1803","1.1746","1.1805","1.1726","","0.49%"
"19-09-2025","1.1746","1.1788","1.1793","1.1729","","-0.36%"
"18-09-2025","1.1788","1.1813","1.1849","1.1751","","-0.21%"
"17-09-2025","1.1813","1.1868","1.1919","1.1808","","-0.46%"
"16-09-2025","1.1868","1.1764","1.1879","1.1757","","0.91%"
"15-09-2025","1.1761","1.1734","1.1775","1.1716","","0.23%"
"12-09-2025","1.1734","1.1734","1.1749","1.1701","","0.00%"
"11-09-2025","1.1734","1.1695","1.1747","1.1663","","0.33%"
"10-09-2025","1.1695","1.1709","1.1732","1.1682","","-0.11%"
"09-09-2025","1.1708","1.1763","1.1780","1.1703","","-0.48%"
"08-09-2025","1.1764","1.1719","1.1766","1.1702","","0.38%"
"05-09-2025","1.1719","1.1649","1.1761","1.1646","","0.59%"
"04-09-2025","1.1650","1.1661","1.1670","1.1630","","-0.10%"
"03-09-2025","1.1662","1.1643","1.1684","1.1608","","0.19%"
"02-09-2025","1.1640","1.1711","1.1719","1.1612","","-0.61%"
"01-09-2025","1.1711","1.1686","1.1738","1.1685","","0.21%"
"29-08-2025","1.1686","1.1683","1.1710","1.1651","","0.03%"
"28-08-2025","1.1683","1.1639","1.1698","1.1629","","0.38%"
"27-08-2025","1.1639","1.1643","1.1649","1.1574","","-0.03%"
"26-08-2025","1.1643","1.1620","1.1667","1.1601","","0.22%"
"25-08-2025","1.1618","1.1717","1.1729","1.1602","","-0.84%"
"22-08-2025","1.1717","1.1606","1.1744","1.1583","","0.96%"
"21-08-2025","1.1606","1.1653","1.1664","1.1600","","-0.39%"
"20-08-2025","1.1652","1.1650","1.1674","1.1622","","0.04%"
"19-08-2025","1.1647","1.1660","1.1693","1.1639","","-0.12%"
"18-08-2025","1.1661","1.1694","1.1719","1.1656","","-0.32%"
"15-08-2025","1.1698","1.1649","1.1715","1.1646","","0.43%"
"14-08-2025","1.1648","1.1706","1.1716","1.1631","","-0.50%"
"13-08-2025","1.1706","1.1675","1.1731","1.1668","","0.28%"
"12-08-2025","1.1673","1.1616","1.1698","1.1598","","0.49%"
"11-08-2025","1.1616","1.1642","1.1677","1.1590","","-0.21%"
"08-08-2025","1.1640","1.1666","1.1680","1.1629","","-0.22%"
"07-08-2025","1.1666","1.1660","1.1700","1.1611","","0.05%"
"06-08-2025","1.1660","1.1573","1.1669","1.1564","","0.73%"
"05-08-2025","1.1576","1.1571","1.1589","1.1527","","0.04%"
"04-08-2025","1.1571","1.1578","1.1597","1.1549","","-0.13%"
"01-08-2025","1.1586","1.1415","1.1597","1.1391","","1.49%"
"31-07-2025","1.1416","1.1406","1.1461","1.1403","","0.09%"
"30-07-2025","1.1406","1.1546","1.1573","1.1401","","-1.21%"
"29-07-2025","1.1546","1.1590","1.1600","1.1517","","-0.37%"
"28-07-2025","1.1589","1.1748","1.1773","1.1585","","-1.30%"
"25-07-2025","1.1742","1.1749","1.1761","1.1703","","-0.11%"
